222	ao/my-edotmw-82/d067-siege-rule	CLEAN	5
243	ao/my-edotmw-86/red-main	CLEAN	63
335	ao/my-edotmw-86/small-fixes	CLEAN	17
294	ao/my-edotmw-86/ci-pipeline	CLEAN	8
273	ao/my-edotmw-86/explore-command	CONFLICT	squad_sim.gd 
273	ao/my-edotmw-86/explore-command	CONFLICT-RESOLVED	squad_sim.gd: siblings of #243 both add squad state and both clear it in order/stop/flee_move; kept BOTH sides in all 4 hunks
345	ao/my-edotmw-86/audio-foundations	CLEAN	54
265	ao/my-edotmw-80/gap-assessment	CLEAN	1
238	ao/my-edotmw-81/issue-153-gate-reconciles-containers	CONFLICT	justfile tests/test_multi_agent_isolation.gd 
238	ao/my-edotmw-81/issue-153-gate-reconciles-containers	CONFLICT-RESOLVED	justfile + tests/test_multi_agent_isolation.gd: DUPLICATE FIX - #335 and #238 both fix #209 (--name scan matching art/attach_kit.py) with different implementations; kept #335's per-line scan, dropped #238's whole-file regex. Not additive: one must be chosen.
226	ao/my-edotmw-81/issue-157-second-match-state	CLEAN	6
232	ao/my-edotmw-81/issue-162-disconnect-notice	CLEAN	5
235	ao/my-edotmw-87/model-preview-framing	CLEAN	5
237	ao/my-edotmw-87/artifacts-are-writable	CLEAN	18
234	ao/my-edotmw-85/playtest-visual-infra	CLEAN	26
251	ao/my-edotmw-82/ladder-instrument	CLEAN	6
248	ao/my-edotmw-82/clash-reports-its-army	CLEAN	9
255	ao/my-edotmw-80/ai-founding-and-gates	CONFLICT	docs/status/ai-opponent.md docs/status/playtests-2026-08.md 
255	ao/my-edotmw-80/ai-founding-and-gates	CONFLICT-RESOLVED	docs/status/{ai-opponent,playtests-2026-08}.md: two PRs appending sections at the same point; kept BOTH. Trivial, and the shape CLAUDE.md predicts for status docs.
322	ao/my-edotmw-81/issue-292-disconnect-eliminates	CONFLICT	docs/status/playtests-2026-08.md 
322	ao/my-edotmw-81/issue-292-disconnect-eliminates	CONFLICT-RESOLVED	docs/status/playtests-2026-08.md: third PR appending at the same point; kept BOTH. Trivial.
221	ao/my-edotmw-82/lod-hysteresis	CLEAN	6
252	ao/my-edotmw-82/d067-garrison	CLEAN	3
260	ao/my-edotmw-82/d072-screen	CLEAN	3
261	ao/my-edotmw-82/counters-are-felt	CLEAN	3
321	ao/my-edotmw-82/civ-can-open	CLEAN	3
324	ao/my-edotmw-82/formations-granted	CONFLICT	units/emberdeep_heavy.tres 
324	ao/my-edotmw-82/formations-granted	CONFLICT-RESOLVED	units/emberdeep_heavy.tres: DUPLICATE FIX with CONTRADICTORY data - #243 grants shield_wall, #324 grants testudo, both fixing #309. Resolved to the UNION; a duplicated key would be invalid .tres so 'keep both' is not available. Needs an author decision - filed.
330	ao/my-edotmw-82/gatherers-differ	CONFLICT	units/emberdeep_gatherers.tres units/gildedreach_gatherers.tres units/gravesworn_gatherers.tres units/stoneblood_gatherers.tres units/thornwood_gatherers.tres units/windmarch_gatherers.tres 
